t,x,y,z, HasCollision
9.265568,86.84522,-190.9739,30.11718,False
9.282734,83.00201,-193.8482,28.24754,False
9.299183,79.29285,-196.4756,26.32469,False
9.31612,75.47501,-199.18,24.34548,False
9.332737,71.70448,-201.7014,22.27456,False
9.349224,67.94607,-204.0654,20.09836,False
9.36578,64.15411,-206.299,17.79352,False
9.382633,60.28352,-208.4234,15.33306,False
9.399105,56.49016,-210.352,12.81939,False
9.417027,52.35837,-212.2843,9.97353,False
9.432842,48.71243,-213.9893,7.462314,False
9.449017,44.98216,-215.5804,4.798596,False
9.465847,41.10242,-217.074,1.932957,False
9.4827,37.22347,-218.4043,-1.024388,False
9.499073,33.46377,-219.5338,-3.977585,False
9.515949,29.58787,-220.6981,-7.022057,False
9.532558,25.78824,-221.6757,-10.09168,False
9.549374,21.95673,-222.4937,-13.2703,False
9.565647,18.26953,-223.117,-16.40693,False
9.583042,14.35137,-223.6021,-19.82016,False
9.599041,10.77359,-223.8803,-23.00784,False
9.616543,6.860648,-224.1845,-26.49416,False
9.632435,3.334676,-224.293,-29.70353,False
9.649296,-0.3711646,-224.2294,-33.14574,False
9.666843,-4.18891,-223.9767,-36.76087,False
9.683308,-7.731441,-223.5646,-40.17737,False
9.700115,-11.30558,-222.9651,-43.68483,False
9.716358,-14.75791,-222.386,-47.07275,False
9.733341,-18.32268,-221.6,-50.62928,False
9.750202,-21.81005,-220.6421,-54.16359,False
9.766178,-25.06668,-219.566,-57.5135,False
9.783314,-28.5014,-218.2337,-61.09673,False
9.800007,-31.79174,-216.7623,-64.57538,False
9.816952,-35.06918,-215.0959,-68.0842,False
9.833462,-38.26383,-213.4716,-71.50439,False
9.850094,-41.41867,-211.6674,-74.92212,False
9.867092,-44.57678,-209.6537,-78.38148,False
9.883579,-47.57462,-207.5374,-81.69934,False
9.90015,-50.51777,-205.2507,-84.98798,False
9.91618,-53.3662,-203.0376,-88.17078,False
9.933704,-56.40394,-200.4524,-91.59505,False
9.94981,-59.12433,-197.927,-94.68618,False
9.966953,-61.94419,-195.0812,-97.91333,False
9.983387,-64.57023,-192.2083,-100.9376,False
9.999836,-67.12142,-189.1899,-103.8914,False
10.01673,-69.66118,-185.9468,-106.8449,False
10.03215,-71.97942,-182.9865,-109.5408,False
10.04907,-74.43959,-179.6014,-112.4112,False
10.0655,-76.74882,-176.1819,-115.1113,False
10.08335,-79.16614,-172.3334,-117.9402,False
10.09983,-81.31536,-168.6573,-120.4541,False
10.11703,-83.47054,-164.6988,-122.9696,False
10.13445,-85.65186,-160.6922,-125.5156,False
10.14911,-87.41281,-157.2195,-127.563,False
10.16626,-89.38234,-153.049,-129.8394,False
10.18233,-91.14433,-149.0417,-131.859,False
10.1997,-92.95757,-144.6096,-133.9145,False
10.21601,-94.66101,-140.446,-135.8455,False
10.23352,-96.39593,-135.8847,-137.7843,False
10.24994,-97.9362,-131.524,-139.4744,False
10.26694,-99.4425,-126.9249,-141.0896,False
10.28341,-100.8153,-122.3966,-142.5195,False
10.29951,-102.0719,-117.9085,-143.7816,False
10.31658,-103.3153,-113.0868,-144.9741,False
10.33334,-104.5366,-108.3512,-146.1453,False
10.35003,-105.666,-103.5814,-147.1662,False
10.36685,-106.7176,-98.72635,-148.0462,False
10.38315,-107.6541,-93.97755,-148.7531,False
10.40023,-108.5488,-88.96771,-149.3383,False
10.41624,-109.3877,-84.26981,-149.8869,False
10.43347,-110.2045,-79.18603,-150.3188,False
10.44915,-110.8715,-74.53234,-150.5665,False
10.46612,-111.5107,-69.48473,-150.6756,False
10.48234,-112.0448,-64.64799,-150.627,False
10.4991,-112.5183,-59.64883,-150.4181,False
10.51639,-113.007,-54.4883,-150.2024,False
10.53364,-113.4158,-49.34354,-149.8233,False
10.54974,-113.7254,-44.5504,-149.316,False
10.56694,-113.9812,-39.4469,-148.61,False
10.58331,-114.2082,-34.59103,-147.8918,False
10.59985,-114.4111,-29.69797,-147.0997,False
10.61647,-114.615,-24.7792,-146.3033,False
10.63355,-114.7633,-19.74827,-145.343,False
10.65032,-114.9092,-14.81339,-144.3838,False
10.66555,-115.0309,-10.33466,-143.473,False
10.68213,-115.146,-5.47374,-142.4276,False
10.69973,-115.2513,-0.3278885,-141.2626,False
10.71467,-115.3409,4.044172,-140.2728,False
10.73262,-115.3763,8.972702,-138.9889,False
10.74793,-115.3531,12.93874,-137.8175,False
10.76465,-115.2775,16.98688,-136.4775,False
10.78152,-115.1586,20.78333,-135.0819,False
10.79799,-115.0083,24.21415,-133.6914,False
10.81501,-114.8636,27.51966,-132.3518,False
10.83147,-114.6992,30.44747,-131.0515,False
10.84801,-114.5165,33.12183,-129.7563,False
10.86486,-114.3191,35.57447,-128.4664,False
10.88135,-114.1209,37.7168,-127.2469,False
10.8982,-113.9194,39.64404,-126.0627,False
10.91462,-113.7446,41.31685,-125.0349,False
10.93133,-113.5748,42.77383,-124.0709,False
10.94802,-113.4185,43.99041,-123.2056,False
10.96559,-113.2737,45.0201,-122.4195,False
10.98141,-113.1624,45.7488,-121.823,False
10.99841,-113.0691,46.31484,-121.3265,False
11.01502,-113.0084,46.68281,-121.0038,False
11.03149,-112.977,46.85975,-120.8376,False
11.04847,-112.977,46.85975,-120.8376,False
11.06514,-113.0112,46.69116,-121.0192,False
11.08178,-113.081,46.3675,-121.3927,False
11.09824,-113.1862,45.90865,-121.9604,False
11.11518,-113.3313,45.27585,-122.7434,False
11.13121,-113.5042,44.56507,-123.6874,False
11.14795,-113.7233,43.7145,-124.9017,False
11.16467,-113.9805,42.77159,-126.3513,False
11.18118,-114.2711,41.76482,-128.0218,False
11.19817,-114.6077,40.66319,-130,False
11.21485,-114.975,39.46129,-132.1584,False
11.23115,-115.3667,38.25096,-134.5184,False
11.24845,-115.7388,37.16663,-136.8235,False
11.26462,-116.048,36.3184,-138.7988,False
11.28141,-116.3275,35.599,-140.6448,False
11.29831,-116.5672,35.02193,-142.2881,False
11.31508,-116.7704,34.53268,-143.6814,False
11.33119,-116.929,34.1773,-144.8145,False
11.34791,-117.0559,33.91462,-145.7626,False
11.36461,-117.1468,33.74236,-146.4766,False
11.38147,-117.2045,33.64379,-146.9546,False
11.39842,-117.2306,33.6042,-147.185,False
11.41488,-117.2306,33.6042,-147.185,False
11.43129,-117.2306,33.6042,-147.185,False
11.44866,-117.3648,33.84005,-147.1965,False
11.46466,-117.5959,34.26138,-147.2059,False
11.48153,-117.9526,34.93612,-147.2032,False
11.49812,-118.4055,35.8244,-147.1763,False
11.51525,-118.9935,36.97752,-147.1414,False
11.53177,-119.6524,38.31636,-147.0658,False
11.54843,-120.4039,39.89782,-146.9347,False
11.56498,-121.2309,41.69912,-146.7379,False
11.58197,-122.1583,43.7886,-146.4542,False
11.59851,-123.1301,46.05211,-146.0863,False
11.61521,-124.2085,48.56381,-145.6781,False
11.63212,-125.3638,51.3443,-145.1512,False
11.64849,-126.5353,54.25509,-144.5203,False
11.66514,-127.7772,57.43927,-143.7424,False
11.68148,-129.0385,60.77378,-142.8345,False
11.69791,-130.3457,64.33481,-141.7637,False
11.71516,-131.8073,68.31622,-140.5666,False
11.73171,-133.2426,72.34127,-139.2401,False
11.74809,-134.6916,76.5216,-137.7393,False
11.76508,-136.0869,80.49645,-135.9152,False
